# Traversal Time Analysis
# Services sampled: 1122
# Station pairs: 56
# Pairs with <10 samples: 0
station_a,station_b,distance_km,direction,median_time,sample_count,min_time,max_time,std_dev
MARINE LINES,CHURCHGATE,2.0,UP,8.0,382,4.0,22.0,2.88
CHARNI ROAD,MARINE LINES,1.0,UP,3.0,389,2.0,4.0,0.09
GRANT ROAD,CHARNI ROAD,1.0,UP,2.0,389,2.0,3.0,0.11
M'BAI CENTRAL(L),GRANT ROAD,1.0,UP,2.0,389,2.0,3.0,0.07
MAHALAKSHMI,M'BAI CENTRAL(L),1.0,UP,3.0,258,2.0,4.0,0.09
LOWER PAREL,MAHALAKSHMI,2.0,UP,3.0,258,3.0,3.0,0.0
PRABHADEVI,LOWER PAREL,1.0,UP,3.0,258,3.0,3.0,0.0
DADAR,PRABHADEVI,2.0,UP,2.0,258,2.0,3.0,0.26
MATUNGA ROAD,DADAR,0.5,UP,4.0,258,3.0,5.0,0.33
MAHIM JN.,MATUNGA ROAD,0.5,UP,3.0,258,3.0,3.0,0.0
BANDRA,MAHIM JN.,3.0,UP,3.0,261,3.0,4.0,0.19
KHAR ROAD,BANDRA,2.0,UP,4.0,261,3.0,22.0,1.69
SANTA CRUZ,KHAR ROAD,1.0,UP,3.0,261,3.0,5.0,0.22
VILE PARLE,SANTA CRUZ,2.0,UP,3.0,261,3.0,4.0,0.17
ANDHERI,VILE PARLE,2.0,UP,4.0,261,3.0,6.0,0.68
JOGESHWARI,ANDHERI,2.0,UP,5.0,302,3.0,24.0,2.87
RAM MANDIR,JOGESHWARI,1.5,UP,3.0,278,2.0,4.0,0.24
GOREGAON,RAM MANDIR,1.5,UP,2.0,278,2.0,4.0,0.53
MALAD,GOREGAON,3.0,UP,3.0,255,3.0,4.0,0.29
KANDIVALI,MALAD,2.0,UP,3.0,255,3.0,4.0,0.11
BORIVALI,KANDIVALI,2.0,UP,6.0,255,4.0,9.0,0.97
DAHISAR,BORIVALI,3.0,UP,5.0,232,3.0,22.0,2.76
MIRA ROAD,DAHISAR,3.0,UP,4.0,234,4.0,6.0,0.4
BHAYANDAR,MIRA ROAD,4.0,UP,5.0,235,4.0,13.0,0.73
NAIGAON,BHAYANDAR,4.0,UP,6.0,206,5.0,7.0,0.36
VASAI ROAD,NAIGAON,4.0,UP,5.0,206,4.0,7.0,0.69
NALLASOPARA,VASAI ROAD,4.0,UP,5.0,192,5.0,7.0,0.39
VIRAR,NALLASOPARA,4.0,UP,6.0,183,5.0,7.0,0.43
CHURCHGATE,MARINE LINES,2.0,DOWN,3.0,384,3.0,4.0,0.05
MARINE LINES,CHARNI ROAD,1.0,DOWN,2.0,384,2.0,3.0,0.09
CHARNI ROAD,GRANT ROAD,1.0,DOWN,3.0,384,3.0,3.0,0.0
GRANT ROAD,M'BAI CENTRAL(L),1.0,DOWN,2.0,382,2.0,4.0,0.2
M'BAI CENTRAL(L),MAHALAKSHMI,1.0,DOWN,3.0,257,2.0,4.0,0.2
MAHALAKSHMI,LOWER PAREL,2.0,DOWN,3.0,264,3.0,24.0,1.29
LOWER PAREL,PRABHADEVI,1.0,DOWN,3.0,264,3.0,3.0,0.0
PRABHADEVI,DADAR,2.0,DOWN,2.0,265,2.0,3.0,0.19
DADAR,MATUNGA ROAD,0.5,DOWN,2.0,265,2.0,3.0,0.2
MATUNGA ROAD,MAHIM JN.,0.5,DOWN,3.0,265,3.0,4.0,0.06
MAHIM JN.,BANDRA,3.0,DOWN,4.0,267,3.0,25.0,2.12
BANDRA,KHAR ROAD,2.0,DOWN,3.0,268,3.0,5.0,0.45
KHAR ROAD,SANTA CRUZ,1.0,DOWN,2.0,268,2.0,4.0,0.56
SANTA CRUZ,VILE PARLE,2.0,DOWN,3.0,268,3.0,4.0,0.09
VILE PARLE,ANDHERI,2.0,DOWN,5.0,268,3.0,15.0,1.69
ANDHERI,JOGESHWARI,2.0,DOWN,3.0,303,3.0,5.0,0.56
JOGESHWARI,RAM MANDIR,1.5,DOWN,3.0,286,3.0,3.0,0.0
RAM MANDIR,GOREGAON,1.5,DOWN,2.0,284,2.0,21.0,3.89
GOREGAON,MALAD,3.0,DOWN,4.0,252,3.0,5.0,0.22
MALAD,KANDIVALI,2.0,DOWN,3.0,255,3.0,4.0,0.14
KANDIVALI,BORIVALI,2.0,DOWN,11.0,255,4.0,22.0,4.11
BORIVALI,DAHISAR,3.0,DOWN,4.0,232,3.0,7.0,0.75
DAHISAR,MIRA ROAD,3.0,DOWN,5.0,232,4.0,5.0,0.27
MIRA ROAD,BHAYANDAR,4.0,DOWN,5.0,229,4.0,27.0,3.65
BHAYANDAR,NAIGAON,4.0,DOWN,6.0,204,5.0,7.0,0.38
NAIGAON,VASAI ROAD,4.0,DOWN,5.0,202,3.0,24.0,3.37
VASAI ROAD,NALLASOPARA,4.0,DOWN,5.0,188,4.0,7.0,0.49
NALLASOPARA,VIRAR,4.0,DOWN,16.0,181,6.0,26.0,4.3
